Department,District,Business,Adress,Acceptance,Category,Sub-category,Contact,Instagram,Facebook,X,Website
Usulutan,San Agustín,Canales & García Abogados y Notarios,"13.4504327, -88.4910748",No,,,2697 4257,,,,
Usulutan,San Agustín,Tienda Alex,"13.450989, -88.4909761",No,Retail,Retailers,-,,,,
Usulutan,San Agustín,Tienda Madellyn,"13.4522171, -88.4911529",No,Retail,Retailers,-,,,,
Usulutan,San Agustín,Taller David Castro,"13.4534975, -88.4902281",No,Other,Other vendors,-,,,,
Usulutan,San Agustín,Taller william,"13.4544592, -88.489108",No,Other,Other vendors,-,,,,
Usulutan,San Agustín,Asados de la Montaña,"13.4506284, -88.4853717",No,Food & Beverage,Restaurants,7278 0631,,,,
Usulutan,San Agustín,super market California,"13.4428419, -88.4634611",No,,,-,,,,
Usulutan,San Agustín,Tienda DANY,"13.443243, -88.464472",No,Retail,Retailers,-,,,,
Usulutan,San Agustín,Tienda emanuel,"13.4421408, -88.4630793",No,Retail,Retailers,-,,,,
San Miguel,San Jorge,Tienda Luz,"13.4409375, -88.3444375",No,Retail,Retailers,-,,,,
San Miguel,San Jorge,Mini tienda Arsila,"13.4508896, -88.351287",No,Retail,Retailers,-,,,,
San Miguel,San Jorge,Finca Verde Marin,"13.4496248, -88.3089625",No,,,-,,,,
San Miguel,San Jorge,Urban kings barbershop,"13.4512341, -88.3075968",No,Food & Beverage,Restaurants,-,,,,
San Miguel,San Jorge,Finca Cancy,"13.4437646, -88.3147957",No,,,7010 6468,,,,
San Miguel,San Jorge,NEW YORK DELY,"13.4531829, -88.2905836",No,,,-,,,,
San Miguel,San Jorge,Cyber Naomi,"13.4589874, -88.2878865",No,,,7512 8300,,,,
San Miguel,San Jorge,Café Jardín Sv Las Placitas,"13.4597521, -88.2877676",No,Food & Beverage,Restaurants,7614 4410,,,,
San Miguel,San Jorge,Tienda El Alto,"13.4573142, -88.2905514",No,Retail,Retailers,-,,,,
San Miguel,San Jorge,Cafetería Victoria,"13.4573895, -88.2906418",No,Food & Beverage,Restaurants,7237 2667,,,,
